id,full_name,password,username
181,"Register Test",$2a$10$U0uml78Age8Ic2dZb4BLX.0QeOu5BcO5/gaxA9fy6GV7n4TLmgv/m,testr6_1764167333696@gmail.com
182,"Register Test",$2a$10$auhkDLu1f1XdiFxfXcmGF.v4H.M5w9OAsOBHjuVpusD9FDAc81CzG,testr2_1764170288658@gmail
183,"Register Test",$2a$10$aH0WdGWF2Vcsc5eBFc.QzuAK0A1KApX/Cu284viGkQyKmoGm7v0FK,testr3_1764170288708@gmail.com
184,"Register Test",$2a$10$uyQxxBobv8NS6UFbokSxnuNOrVo.OPoSKXGbRSPsLOHTCe6ieLt5a,test_auto_1764170288711@gmail.com
185,,$2a$10$5Rv.r6Q9LWleTeTHpEp5NexkTdmHZAY6ZSeaXOM5YOBt9l2t5Cvse,testr7_1764170288953@gmail.com
186,"Register Test",$2a$10$ZMU1zA3iZmI55ZaO8U4WJevxAuTTTmWWu4pz4BWmwQrns2WorvRRG,testr8_1764170288971@gmail.com
187,"User Goc",$2a$10$MONcviFWqpIBMmtrkvMoD.Ig5r78uVLSHqXKY3/jkQRhLWnYVenh6,duplicate_1764170289013@gmail.com
188,"Register Test",$2a$10$cNn2xBKl0JItON2Eo17XSub9rjl2ybMcE8hvoIDNfTdiJ8Kbnk.9O,testr4_1764170289657@gmail.com
189,"Register Test",$2a$10$6VvHj6Jd3bJC3isO8.CaW.yfrWorgQZDowgj0aTAKc0702GcT0knC,testr6_1764170289671@gmail.com
190,Test5,$2a$10$60idRNF91W7zv4FSNkkv4ezpXPPaISPDD0MHXvwZP4VLJ1GNaJFhW,example1234@gmail.com
191,TestUser,$2a$10$8hq3I49MZJewLoVJktX4wedUdE95cvNja/BGZqZN0SCiALG8e9okK,example@gmail.com
192,TestEmailFormat,$2a$10$4ngWLM/sR9bV7kdy9UGRP.Il.Xo2u9C2jmzhc.KceOh7INBhqpujy,not-email@g
